galaxy,ra_deg,dec_deg,sparc_metric,coord_source,catalog_name
UGC02953,61.94545,69.81243,55195.06690150065,VizieR:J/AJ/152/157/table1,UGC02953
UGC03205,74.06173,30.05219,32242.55949064766,VizieR:J/AJ/152/157/table1,UGC03205
UGC03546,102.5361,60.84569,23924.010382555163,VizieR:J/AJ/152/157/table1,UGC03546
UGC03580,103.87864,69.563,12898.222458543083,VizieR:J/AJ/152/157/table1,UGC03580
UGC04278,123.49545,45.74215,5838.627606810856,VizieR:J/AJ/152/157/table1,UGC04278
UGC04305,124.77074,70.72003,27.24257714209368,VizieR:J/AJ/152/157/table1,UGC04305
UGC04325,124.83554,50.00961,6444.404791684948,VizieR:J/AJ/152/157/table1,UGC04325
UGC04483,129.26371,69.77478,351.98490000000004,VizieR:J/AJ/152/157/table1,UGC04483
UGC04499,129.42287,51.65238,3759.158631590312,VizieR:J/AJ/152/157/table1,UGC04499
UGC05005,141.12245,22.27482,7846.0770445778035,VizieR:J/AJ/152/157/table1,UGC05005
UGC05253,147.59264,72.27865,34080.3404871213,VizieR:J/AJ/152/157/table1,UGC05253
UGC05414,150.98827,40.76151,1731.4871555568177,VizieR:J/AJ/152/157/table1,UGC05414
UGC05716,157.93028,25.30761,4413.90234386631,VizieR:J/AJ/152/157/table1,UGC05716
UGC05721,158.072,27.66877,5378.964193186276,VizieR:J/AJ/152/157/table1,UGC05721
UGC05750,158.93796,20.99019,3952.929143936005,VizieR:J/AJ/152/157/table1,UGC05750
UGC05764,159.17976,31.54726,2342.66087,VizieR:J/AJ/152/157/table1,UGC05764
UGC05829,160.67828,34.44928,2639.75654,VizieR:J/AJ/152/157/table1,UGC05829
UGC05918,162.40172,65.53363,1393.5152599876767,VizieR:J/AJ/152/157/table1,UGC05918
UGC05986,163.12972,36.61878,10503.795025893727,VizieR:J/AJ/152/157/table1,UGC05986
UGC05999,163.24438,7.6198,6117.400690315992,VizieR:J/AJ/152/157/table1,UGC05999
UGC06399,170.84677,50.89268,5618.159779193651,VizieR:J/AJ/152/157/table1,UGC06399
UGC06446,171.66854,53.74667,5486.5813071428565,VizieR:J/AJ/152/157/table1,UGC06446
UGC06614,174.81185,17.14358,28415.06677955119,VizieR:J/AJ/152/157/table1,UGC06614
UGC06628,175.02392,45.94216,218.63758999999965,VizieR:J/AJ/152/157/table1,UGC06628
UGC06667,175.60962,51.59801,6122.73247640637,VizieR:J/AJ/152/157/table1,UGC06667
UGC06786,177.28931,27.02207,40689.59512094007,VizieR:J/AJ/152/157/table1,UGC06786
UGC06787,177.31404,56.08435,51191.06649975288,VizieR:J/AJ/152/157/table1,UGC06787
UGC06818,177.69564,45.8072,3495.5943149282502,VizieR:J/AJ/152/157/table1,UGC06818
UGC06917,179.11989,50.42839,8397.34837,VizieR:J/AJ/152/157/table1,UGC06917
UGC06923,179.20636,53.16034,3732.368034977763,VizieR:J/AJ/152/157/table1,UGC06923
