object_type,log_Mbar,M_bar_Msun,closure,log_closure
galaxy,10.128431581093247,13440999999.999998,0.9080157495131584,-0.04190661858537101
galaxy,9.370142847051103,2344999999.9999995,0.8383252541844192,-0.07658745071145273
galaxy,9.712439236645189,5157500000.0,1.037267450680581,0.01589075000429358
galaxy,9.294135419126249,1968500000.0,1.4455245865362456,0.16002548286673351
galaxy,8.788875115775417,615000000.0,1.0170341551458444,0.007335538116737221
galaxy,10.010299956639813,10240000000.0,0.7360147840765213,-0.13311346205058786
galaxy,8.672559627763276,470500000.0,1.0509854434966324,0.02159670094463826
galaxy,9.053462604925455,1131000000.0,0.4911027330484311,-0.30882764895829706
galaxy,9.132419798097615,1356500000.0,1.7082771002483192,0.2325583191327296
galaxy,9.41954272470028,2627500000.0,5.351013089265415e-11,-10.271563986684352
galaxy,11.4198574844398,262940500000.0,1.4021243256689755,0.14678652401445993
galaxy,11.383523644665061,241837499999.99997,0.9122460653359591,-0.03988800114124371
galaxy,10.931200981245984,85349500000.0,0.7952287449974542,-0.09950792995864402
galaxy,11.138103666731162,137436999999.99998,1.1499177052343401,0.06066676083928861
galaxy,10.82280858361851,66497999999.99999,0.946450419443218,-0.023902131965594348
galaxy,10.727077436678343,53343000000.0,0.7175769335190321,-0.1441315301178216
galaxy,10.041511112959324,11003000000.0,0.6694026662024132,-0.17431256219830485
galaxy,9.247850566973534,1769500000.0,0.991779632568914,-0.0035848147318990804
galaxy,9.024485667699167,1057999999.9999999,0.051298000714213296,-1.289899560730383
galaxy,9.228143607597742,1690999999.9999998,2.0089790775018366,0.3029754138150408
galaxy,7.585460729508501,38500000.0,0.7285882865559561,-0.13751781514873426
galaxy,9.273232834043046,1876000000.0,0.7316995040688872,-0.13566723932251606
galaxy,9.71121652432109,5143000000.0,0.6350471011680832,-0.19719406208003554
galaxy,11.00939564934689,102187000000.0,0.8823125842173691,-0.05437752648879869
galaxy,9.055187138555754,1135500000.0,0.6984527284840674,-0.15586298175199764
galaxy,9.142389466118836,1388000000.0000002,0.8818576884569274,-0.05460149435181
galaxy,8.917768002447756,827500000.0000001,2.0852090006370703,0.31914959085625566
galaxy,9.442009159140952,2767000000.0,1.480361207116629,0.17036769588002626
galaxy,8.312811826212089,205500000.00000003,3.4422833206440644,0.5368466125134858
galaxy,9.1156105116743,1305000000.0,1.1142454800675832,0.046980881047925784
galaxy,8.616475513888565,413500000.0,0.9528181213588939,-0.02098999173168834
galaxy,9.70022763564825,5014500000.0,1.419210626144483,0.15204685422006112
galaxy,9.569841899403762,3713999999.9999995,0.9221799601671117,-0.035184319639280065
galaxy,9.260548372636979,1822000000.0,1.1927448274031203,0.07654754182274487
galaxy,9.272537777375238,1873000000.0,1.0979066588562414,0.04056541910604225
galaxy,10.924604884839024,84063000000.0,0.429648440368312,-0.36688676036554646
galaxy,9.527565460707722,3369500000.0,0.04684037993862792,-1.3293795908716566
galaxy,9.17825732081219,1507500000.0,2.086542432724975,0.31942722111622757
galaxy,10.620484808554169,41733500000.0,1.5903727895433684,0.2014989365626326
galaxy,10.733662617918563,54158000000.0,1.551058071774412,0.19062805814826075
galaxy,9.272537777375238,1873000000.0,0.5804117912474068,-0.23626377331619852
galaxy,9.735519058815171,5439000000.0,0.9189655422055364,-0.03670077273853875
galaxy,9.352953911710088,2254000000.0,0.8200483266637857,-0.08616055324436661
galaxy,9.886659897861202,7703000000.0,0.7269288424770565,-0.13850809922630072
galaxy,10.457700272218108,28688000000.0,0.6387619826108012,-0.19466093979979304
galaxy,9.749427099121748,5616000000.0,0.9996905250110898,-0.00013442408148937304
galaxy,9.478061208181519,3006500000.0,0.5247569219294484,-0.2800418240443961
galaxy,9.77706415474243,5984999999.999999,0.24474639810605237,-0.6112836909208469
galaxy,9.245018870737754,1758000000.0,0.9863285177479656,-0.005978409924616859
galaxy,8.010723865391773,102500000.00000001,1.165715623255769,0.06659261704914671
galaxy,9.354972325018975,2264500000.0,0.8761753280775866,-0.05740898013595229
galaxy,9.443497677808585,2776500000.0,0.9687485858958215,-0.013788918434629227
galaxy,9.121559844187502,1323000000.0,2.6791211839213855,0.4279923583704513
galaxy,9.476686742945645,2997000000.0,0.6173709873459865,-0.20945378355428143
galaxy,8.349277527467954,223500000.0,0.4629630419338633,-0.33445367707022455
galaxy,7.8228216453031045,66500000.0,0.11280177000411072,-0.9476840856630734
galaxy,8.649334858712141,446000000.0,1.7747688813807583,0.2491418052354669
galaxy,8.824125833916549,667000000.0,1.9979362768282511,0.3005816325069859
galaxy,8.913283901760419,819000000.0,0.8698247979917405,-0.060568215114627365
galaxy,8.255272505103306,180000000.0,0.5661084102359409,-0.2471003930893875
galaxy,9.10363270520974,1269499999.9999998,1.6494504737534685,0.2173392799914033
galaxy,9.0893751608161,1228500000.0,1.3596622842016872,0.1334310507812333
galaxy,8.635986111800833,432500000.0,1.354516802419522,0.13178439670977096
galaxy,10.460732508891672,28889000000.0,1.0494363091564147,0.02095608615684942
galaxy,8.756255648754234,570500000.0,0.5537248219293925,-0.2567060078491961
galaxy,10.727419247059528,53385000000.00001,0.2563246239308098,-0.591209671132988
galaxy,11.242767460988647,174891000000.0,0.7513523475542054,-0.1241563523262829
galaxy,8.686636269262294,486000000.0,0.30820810635007106,-0.5111559428505458
galaxy,9.315235409617728,2066500000.0,0.8254906645754684,-0.08328783378372574
galaxy,11.302105712640708,200496000000.0,0.7266779563314585,-0.13865801386592738
galaxy,9.937292160711573,8655500000.0,0.1116479022429873,-0.9521494324927112
galaxy,9.391288048595298,2462000000.0,0.7207899153549485,-0.14219129824477608
galaxy,10.880253219604572,75902000000.0,3.8305183669336924,0.5832575490771634
galaxy,11.022599498159346,105341500000.0,1.0510944910726003,0.02164175989769848
galaxy,9.379214841378626,2394500000.0,0.7287793256691968,-0.13740395611620554
