galaxy,n,n_outer,outer_rule,rmax_kpc,rmin_outer_kpc,slope_outer_pos,n_slope_pos,slope_outer_abs,n_slope_abs,dv2_outer_log_slope,n_dv2_log_slope,frac_rho_pos_outer
UGC09133,68,13,rfrac,108.31,66.46,5.4294722688747274,13,5.4294722688747274,13,-0.018531320912959507,13,1.0
UGC09992,5,5,lastfrac,3.89,0.78,-1.8883165366037777,5,-1.8883165366037777,5,0.058195256210071517,5,1.0
UGC10310,7,5,lastfrac,7.74,3.31,-2.0089285555971568,5,-2.0089285555971568,5,0.08715167613070775,5,1.0
UGC11455,36,8,rfrac,41.93,27.06,-4.887345073656338,8,-4.887345073656338,8,0.9456622824896148,8,1.0
UGC11557,12,5,lastfrac,10.56,5.28,-1.5410575711376222,4,-1.437209389956336,5,0.5051199697317851,5,0.8
UGC11820,10,5,lastfrac,15.82,5.26,-1.3753272858644232,5,-1.3753272858644232,5,0.6245452738357194,5,1.0
UGC11914,65,12,rfrac,9.83,5.98,0.2826192252850402,12,0.2826192252850402,12,1.2956888070222907,12,1.0
UGC12506,31,13,rfrac,49.99,30.32,-3.5991467913328754,10,-4.141247846478291,13,-0.4555480484940019,13,0.7692307692307693
UGC12632,15,7,rfrac,10.66,6.4,-2.5282348652200817,7,-2.5282348652200817,7,0.1532735716436931,7,1.0
UGC12732,16,7,rfrac,15.4,9.6,-0.6265050346372679,7,-0.6265050346372679,7,0.5912381734244142,7,1.0
UGCA281,7,5,lastfrac,1.08,0.41,-1.7673939254913185,5,-1.7673939254913185,5,0.8249588951786914,5,1.0
UGCA442,8,5,lastfrac,6.33,2.96,-2.540265629745257,5,-2.540265629745257,5,0.6080778096988213,5,1.0
UGCA444,36,15,rfrac,2.62,1.62,1.105262268738097,14,0.31596984767005226,15,1.138397769462808,15,0.9333333333333333
