galaxy,q_est_kms2,q_best_kms2,dq_est_minus_best_kms2,abs_dq_kms2,sparc_Vflat_kms,sparc_Rdisk_kpc,sparc_D_mpc,log10_Vflat,log10_Rdisk,log10_D,rho_slope_outer_abs,rho_slope_outer_pos,rho_closeness_abs,rho_closeness_pos,dv2_outer_log_slope
NGC3992,42706.92574788313,43117.829992486586,-410.9042446034582,410.9042446034582,241.0,4.96,23.7,2.3820170425748683,0.6954816764901974,1.3747483460101038,-0.9142976001902783,-0.9142976001902783,1.0857023998097217,1.0857023998097217,-0.027007156091320917
NGC4010,10101.16929,9349.377692342641,751.7915976573586,751.7915976573586,125.8,2.81,18.0,2.09968064110925,0.4487063199050799,1.255272505103306,-4.02586507971332,-4.02586507971332,2.02586507971332,2.02586507971332,-0.21144533189708714
NGC4013,21938.851459561036,19747.93367567229,2190.9177838887445,2190.9177838887445,172.9,3.53,18.0,2.2377949932739227,0.5477747053878226,1.255272505103306,-3.1606132912484175,-2.471080029732493,1.1606132912484175,0.4710800297324931,0.7170775245462316
NGC4051,7300.648870000002,7884.06002698986,-583.4111569898578,583.4111569898578,157.0,4.65,18.0,2.1958996524092336,0.667452952889954,1.255272505103306,-1.5970418720338004,-1.5970418720338004,0.40295812796619956,0.40295812796619956,-0.2705263936848055
NGC4068,498.7843734903,1151.553059203065,-652.768685712765,652.768685712765,0.0,0.59,4.37,nan,-0.22914798835785583,0.6404814369704218,-0.2017340709367953,-0.2017340709367953,1.7982659290632048,1.7982659290632048,3.185435135366353
NGC4085,4952.304729590413,7381.64130837625,-2429.3365787858365,2429.3365787858365,131.5,1.65,18.0,2.1189257528257768,0.21748394421390627,1.255272505103306,-1.0277270802342733,-1.0277270802342733,0.9722729197657267,0.9722729197657267,1.382645239330028
NGC4088,10694.12258,8780.67280167809,1913.4497783219085,1913.4497783219085,171.7,2.58,18.0,2.2347702951609163,0.41161970596323016,1.255272505103306,-0.38670654019059814,-0.38670654019059814,1.6132934598094018,1.6132934598094018,2.1586708033185813
NGC4100,19664.63963181818,21796.91890037901,-2132.279268560829,2132.279268560829,158.2,2.15,18.0,2.1992064791616577,0.33243845991560533,1.255272505103306,-0.6247536489463147,-0.19946883858318556,1.3752463510536854,1.8005311614168145,-0.4513474908277844
NGC4138,15415.48332854512,18659.28817220086,-3243.80484365574,3243.80484365574,147.3,1.51,18.0,2.168202746842631,0.17897694729316943,1.255272505103306,-0.7723333031298105,-0.7723333031298105,1.2276666968701895,1.2276666968701895,-0.16836827099601248
NGC4157,21713.590661260463,17452.54151332617,4261.049147934293,4261.049147934293,184.7,2.32,18.0,2.2664668954402414,0.3654879848908996,1.255272505103306,-2.168048858228784,-2.168048858228784,0.1680488582287838,0.1680488582287838,0.7754149425496498
NGC4183,9123.968283333332,8535.275864399904,588.6924189334277,588.6924189334277,110.6,2.79,18.0,2.0437551269686796,0.44560420327359757,1.255272505103306,-0.5125596825898416,-0.5125596825898416,1.4874403174101585,1.4874403174101585,0.4397025128893004
NGC4214,5693.361574351553,7700.62667241955,-2007.2650980679973,2007.2650980679973,80.1,0.51,2.87,1.9036325160842376,-0.2924298239020636,0.4578818967339923,-2.118499014166116,-2.118499014166116,0.11849901416611619,0.11849901416611619,0.1428317749064337
NGC4217,13419.512406494638,13695.658347472161,-276.1459409775234,276.1459409775234,181.3,2.94,18.0,2.258397804095509,0.46834733041215726,1.255272505103306,-1.4245072529912823,-1.4245072529912823,0.5754927470087177,0.5754927470087177,0.5547307646100021
NGC4389,-3351.160634140778,4.299355507816561e-07,-3351.1606345707132,3351.1606345707132,0.0,2.79,18.0,nan,0.44560420327359757,1.255272505103306,-0.5601653697496467,nan,1.4398346302503533,nan,nan
NGC4559,9865.799338746958,8389.15582148631,1476.643517260647,1476.643517260647,121.2,2.1,9.0,2.0835026198302673,0.3222192947339193,0.9542425094393249,-4.45960362158542,-4.45960362158542,2.45960362158542,2.45960362158542,-0.10289180663692014
NGC5005,22891.55036206125,39357.28272756189,-16465.73236550064,16465.73236550064,262.2,9.45,16.9,2.4186326873540653,0.9754318085092629,1.2278867046136734,-0.1610650821296025,-0.1610650821296025,1.8389349178703975,1.8389349178703975,1.0315474483423968
NGC5033,29281.974605916355,30570.85187169843,-1288.8772657820737,1288.8772657820737,194.2,5.16,15.7,2.288249225571986,0.7126497016272114,1.1958996524092338,2.6759182047207424,0.6405194945865439,4.675918204720743,2.640519494586544,-0.23290379003774841
NGC5055,22339.777232601642,19920.446850623703,2419.3303819779394,2419.3303819779394,179.0,3.2,9.9,2.2528530309798933,0.505149978319906,0.9956351945975499,-3.9383115997484914,-3.9383115997484914,1.9383115997484914,1.9383115997484914,0.08660275950396476
NGC5371,19553.257149187244,16927.817470828173,2625.439678359071,2625.439678359071,209.5,7.44,39.7,2.3211840273023143,0.8715729355458788,1.5987905067631152,2.8216375284102657,2.8216375284102657,4.821637528410266,4.821637528410266,1.1439135426641045
NGC5585,6420.6461642936765,5753.043082219306,667.6030820743708,667.6030820743708,90.3,1.53,7.06,1.9556877503135057,0.1846914308175988,0.8488047010518037,-3.249911569497272,-3.249911569497272,1.249911569497272,1.249911569497272,0.016551886147973125
NGC5907,31668.703622222223,30410.755001713504,1257.9486205087196,1257.9486205087196,215.0,5.34,17.3,2.3324384599156054,0.7275412570285564,1.2380461031287955,0.3833162671000745,0.3833162671000745,2.3833162671000743,2.3833162671000743,0.4209583110425825
NGC5985,62496.63531232685,62425.15737993142,71.47793239542807,71.47793239542807,293.6,7.01,39.7,2.467756051244033,0.8457180179666587,1.5987905067631152,-3.086277618331681,-3.086277618331681,1.086277618331681,1.086277618331681,0.07337394773308029
NGC6015,19827.035520238784,16857.18957563162,2969.8459446071647,2969.8459446071647,154.1,2.3,17.0,2.1878026387184195,0.36172783601759284,1.2304489213782739,-1.5605424619454293,-1.8147009090072814,0.43945753805457066,0.18529909099271857,-0.1902974692064733
NGC6195,25841.609599942487,23694.31279741945,2147.2968025230366,2147.2968025230366,251.7,13.94,127.8,2.4008832155483626,1.1442627737619906,2.1065308538223815,-1.9323822410428444,-1.9323822410428444,0.0676177589571556,0.0676177589571556,1.1150194898982937
NGC6503,10996.095222307058,10445.66295611946,550.4322661875976,550.4322661875976,116.3,2.16,6.26,2.0655797147284485,0.3344537511509309,0.7965743332104297,-1.8218894954927023,-1.3573798116107116,0.1781105045072977,0.6426201883892884,0.17952394189630852
NGC6674,47180.97593990751,44811.73807106131,2369.237868846205,2369.237868846205,241.3,6.04,51.2,2.3825573219087857,0.7810369386211319,1.7092699609758308,-2.26456442061149,-2.26456442061149,0.2645644206114901,0.2645644206114901,0.441055019563537
NGC6789,1459.9216660461168,3647.4653342850415,-2187.5436682389245,2187.5436682389245,0.0,0.31,3.52,nan,-0.5086383061657274,0.5465426634781311,nan,nan,nan,nan,nan
NGC6946,14923.558872410307,14515.473237660584,408.0856347497229,408.0856347497229,158.9,2.44,5.52,2.2011238972073794,0.3873898263387294,0.7419390777291989,-1.195369349258177,-1.2982213136150542,0.804630650741823,0.7017786863849458,-0.030182324820551918
NGC7331,32851.16533857143,27191.62614994803,5659.539188623399,5659.539188623399,239.0,5.02,14.7,2.3783979009481375,0.7007037171450193,1.167317334748176,-2.4442925146439958,-2.4442925146439958,0.4442925146439958,0.4442925146439958,0.8217718413729656
NGC7793,6731.484496849498,7626.300641697564,-894.816144848066,894.816144848066,0.0,1.21,3.61,nan,0.08278537031645007,0.557507201905658,-3.7722324770740734,-4.1500692973636095,1.7722324770740734,2.1500692973636095,-0.9189346505186768
NGC7814,31511.63945,31882.560113101114,-370.92066310111477,370.92066310111477,218.9,2.54,14.4,2.3402457615679317,0.40483371661993806,1.1583624920952498,-1.5151450363273473,-1.5151450363273473,0.4848549636726527,0.4848549636726527,0.41542730736188754
PGC51017,25.631383647139696,38.511488745732365,-12.880105098592669,12.880105098592669,18.6,0.53,13.6,1.2695129442179163,-0.27572413039921095,1.1335389083702174,-2.072254390264941,-0.7270335885904857,0.07225439026494085,1.2729664114095143,-0.7471120959747458
UGC00128,14546.207100000001,13284.79124345088,1261.4158565491216,1261.4158565491216,129.3,5.95,64.5,2.111598524880394,0.7745169657285496,1.8095597146352678,-1.4706996817562303,-1.9736178027743498,0.5293003182437697,0.02638219722565016,0.16963897036273312
UGC00191,4470.9706080368915,5123.061096065383,-652.0904880284916,652.0904880284916,0.0,1.58,17.1,nan,0.19865708695442263,1.2329961103921538,-2.056177452470734,-2.056177452470734,0.056177452470734135,0.056177452470734135,0.3121702303534149
UGC00634,8261.038672587918,9400.60772846931,-1139.5690558813913,1139.5690558813913,0.0,2.45,30.9,nan,0.3891660843645325,1.4899584794248346,nan,nan,nan,nan,nan
UGC00731,4116.458860000001,8093.54442331986,-3977.085563319859,3977.085563319859,73.3,2.3,12.5,1.865103974641128,0.36172783601759284,1.0969100130080565,-2.294347894438982,-2.294347894438982,0.2943478944389821,0.2943478944389821,-0.01974113499844915
