row_type,center,ra_deg,dec_deg,kappa,gradmag_1/kpc,r_mid_arcsec,kappa_median,kappa_p16,kappa_p84,gradmag_median_per_arcsec,gradmag_p16_per_arcsec,gradmag_p84_per_arcsec,n_pix,unit
annulus,sub,,,,,33.0,0.733264864144293,0.6167272904229117,0.9444604417486987,0.07146935502786031,0.04089740183115847,0.22066942035853096,497493,1/kpc
annulus,sub,,,,,39.0,0.6584888323901112,0.5760201005545377,0.8463566075236119,0.046881805933601584,0.0286944250168117,0.0979180540374156,587957,1/kpc
annulus,sub,,,,,45.0,0.6278510092001748,0.5472686216819951,0.787011643886758,0.04576522711733675,0.02221628535263575,0.14217818104240365,678434,1/kpc
annulus,sub,,,,,51.0,0.5903181860994874,0.5048850630723523,0.7599887582461554,0.041904549088710975,0.019929433895040184,0.14233555306502607,768835,1/kpc
annulus,sub,,,,,57.0,0.57830787198036,0.48137784962810665,0.7155074122859988,0.036324809338417044,0.020658423848192047,0.14814857546974902,859348,1/kpc
annulus,sub,,,,,63.0,0.5705431967052099,0.46530977541619567,0.66891036600783,0.03274581110691077,0.018775201794746142,0.13818377512587984,949786,1/kpc
annulus,sub,,,,,69.0,0.5361093177328814,0.43299588445110915,0.6263701184915476,0.03496083557577355,0.02017977419280209,0.11303561603478482,1040209,1/kpc
annulus,sub,,,,,75.0,0.4905206326877568,0.39558357587944687,0.6079188381685993,0.027649197987509616,0.01872824578686748,0.050736909452741855,1130694,1/kpc
annulus,sub,,,,,81.0,0.45321859910178275,0.36793942637506877,0.6056657985554967,0.023362365711067035,0.015098251700595672,0.05194626730528749,1221145,1/kpc
annulus,sub,,,,,87.0,0.42075688037993764,0.34647844272177214,0.5979551840218456,0.023171339826336127,0.01331133529170455,0.06292546650793858,1311619,1/kpc
annulus,sub,,,,,93.0,0.3924046378105129,0.32502431954911365,0.5868101190405901,0.02157901074027973,0.012402708057227355,0.05738081204003941,1402048,1/kpc
annulus,sub,,,,,99.0,0.3685003772651164,0.3054207482220198,0.5547371753342633,0.019002975629780736,0.01116968436345513,0.059482580512502645,1492501,1/kpc
annulus,sub,,,,,105.0,0.3518308294230571,0.28556108723065166,0.5032220788970052,0.016876883773128896,0.009537802121882464,0.04752914568205765,1582973,1/kpc
annulus,sub,,,,,111.0,0.33284145028798434,0.26929095836158995,0.4858874131330796,0.015568434370002627,0.008731168306148307,0.04078268535048291,1673435,1/kpc
annulus,sub,,,,,117.0,0.31453276957837667,0.2554562849257882,0.450897051346306,0.014110909736011895,0.00783419605279706,0.031813986617576985,1763849,1/kpc
annulus,sub,,,,,123.0,0.29968490757901506,0.2462494658022964,0.42119991830278175,0.012792338711699939,0.006773305416389877,0.025845677863239585,1844353,1/kpc
annulus,sub,,,,,129.0,0.29592171271816664,0.2429102574349359,0.3967608822756865,0.013233226094494933,0.006740039610796271,0.02293784155877361,1791616,1/kpc
annulus,sub,,,,,135.0,0.28700604249619516,0.2361981835263901,0.3766321065233392,0.012851394815610841,0.006588053945779781,0.021156502779724865,1783547,1/kpc
annulus,sub,,,,,141.0,0.2754060849720713,0.22655799124300088,0.35938870377238935,0.011509624255599095,0.006365463081599499,0.01893939472003512,1799390,1/kpc
annulus,sub,,,,,147.0,0.26329435549751073,0.2166813480310479,0.34093965843043994,0.01030732129026718,0.0062619148165838166,0.016040889255907465,1824336,1/kpc
