row_type,center,ra_deg,dec_deg,kappa,gradmag_1/kpc,r_mid_arcsec,kappa_median,kappa_p16,kappa_p84,gradmag_median_per_arcsec,gradmag_p16_per_arcsec,gradmag_p84_per_arcsec,n_pix,unit
annulus,sub,,,,,90.0,0.0001438819231339,9.644079465363039e-05,0.0005381772607229509,1.4391817113400293e-05,8.024460824978377e-06,4.521107573848171e-05,434,1/kpc
annulus,sub,,,,,102.0,0.00011822564030819372,7.237430167425106e-05,0.0004911446375520718,1.1136432819159581e-05,7.410165755718771e-06,3.528004865931216e-05,487,1/kpc
annulus,sub,,,,,114.0,9.705105315435653e-05,5.2265807402622186e-05,0.00041606616146646204,8.92296284968228e-06,5.712632649689328e-06,3.3960150431132354e-05,565,1/kpc
annulus,sub,,,,,126.0,7.905527818890875e-05,3.861306967513104e-05,0.0003333484268837419,6.4851700288160784e-06,3.213270138475102e-06,3.068826462692158e-05,619,1/kpc
annulus,sub,,,,,138.0,6.811062660030136e-05,3.1216401021246606e-05,0.0002758414443805954,4.1908202763998775e-06,2.1441920934836937e-06,2.83363684313558e-05,670,1/kpc
annulus,sub,,,,,150.0,5.9987259657789804e-05,2.76276734498296e-05,0.00020720981588544555,3.1259908817842992e-06,1.7906461509252016e-06,2.4273868990968e-05,731,1/kpc
annulus,sub,,,,,162.0,5.265240471708043e-05,2.2818436244258044e-05,0.00016385205389545635,2.696537444516602e-06,1.5017220691080434e-06,1.882885198683342e-05,796,1/kpc
annulus,sub,,,,,174.0,4.525005665941317e-05,1.974005745615065e-05,0.0001248736324576111,2.4190367597074433e-06,9.973119043555757e-07,1.3042702293089832e-05,842,1/kpc
annulus,sub,,,,,186.0,3.894093958843529e-05,1.8364924919294246e-05,7.898684926678842e-05,1.8351459770842332e-06,6.113903386435747e-07,9.40731354313618e-06,907,1/kpc
annulus,sub,,,,,198.0,3.441012293378428e-05,1.7079269827069014e-05,5.280476407130925e-05,1.6226699130373094e-06,5.103514022990271e-07,5.778463055615882e-06,973,1/kpc
annulus,sub,,,,,210.0,3.0579450804535025e-05,1.5626612217380106e-05,4.307722450472311e-05,1.4740177576816302e-06,3.859095912204645e-07,3.5089301686766274e-06,1023,1/kpc
annulus,sub,,,,,222.0,2.7100587658270673e-05,1.5095929144695753e-05,3.708826960995737e-05,1.1920554783399934e-06,3.1786215511096523e-07,2.7780263557705983e-06,1063,1/kpc
annulus,sub,,,,,234.0,2.4550277841936877e-05,1.5146301282280733e-05,3.138009630665374e-05,1.1323250653206716e-06,3.469589834711284e-07,2.240593610089705e-06,1143,1/kpc
annulus,sub,,,,,246.0,2.242810322601794e-05,1.5045922005119353e-05,2.6605175387176106e-05,8.913196837194057e-07,3.612243771134695e-07,1.7770179268630166e-06,1203,1/kpc
annulus,sub,,,,,258.0,2.0909187159526852e-05,1.5189952366437077e-05,2.4141124446958904e-05,7.677750576171255e-07,3.6787796907013615e-07,1.6864145728468352e-06,1248,1/kpc
annulus,sub,,,,,270.0,1.922339006972918e-05,1.3882454688648275e-05,2.2654322021635882e-05,8.057107497541879e-07,3.422195977876327e-07,1.5644314508828253e-06,1323,1/kpc
annulus,sub,,,,,282.0,1.7377689197858793e-05,1.193934618613384e-05,2.119485992883737e-05,7.263075232191628e-07,3.66158069396034e-07,1.3460152449275753e-06,1366,1/kpc
annulus,sub,,,,,294.0,1.6119047801379187e-05,1.04991482801502e-05,1.9922218559318935e-05,5.79067635914743e-07,2.938596479671301e-07,1.0900239529247203e-06,1416,1/kpc
annulus,sub,,,,,306.0,1.469490676638052e-05,9.626166335935281e-06,1.8242829322148582e-05,5.031675685288034e-07,2.615752443550616e-07,1.0095169121131638e-06,1491,1/kpc
annulus,sub,,,,,318.0,1.3521220502931276e-05,9.311776208889208e-06,1.6754707184322524e-05,4.941914606626911e-07,2.3927024552442053e-07,9.85111793097944e-07,1559,1/kpc
