galaxy,outer_rule,q_est_kms2,q_best_kms2,v_est_asym_kms,v_extra_asym_kms,vobs_outer_kms,delta_q_kms2,ratio_q,delta_v_kms
UGC00128,rfrac,14546.207100000001,13284.79124345088,120.60765771707865,115.25966876340952,132.0,1261.4158565491216,1.0949518764301978,5.34798895366913
UGC00191,lastfrac,4470.9706080368915,5123.061096065383,66.8653169291591,71.5755621428528,76.65,-652.0904880284916,0.8727146766745939,-4.710245213693696
UGC00634,lastfrac,8261.038672587918,9400.60772846931,90.89025620267509,96.95673121794746,107.5,-1139.5690558813913,0.8787770866738478,-6.066475015272374
UGC00731,rfrac,4116.458860000001,8093.54442331986,64.15963575333015,89.96412853643312,73.8,-3977.085563319859,0.5086101520786472,-25.804492783102972
UGC00891,lastfrac,2083.720466954676,3182.8682230960794,45.64778709811326,56.41691433511832,54.15,-1099.1477561414035,0.6546675265518135,-10.769127237005058
UGC01230,lastfrac,8787.462385026949,9399.00928495635,93.7414656650244,96.94848779097254,105.0,-611.5468999294008,0.9349349616125802,-3.2070221259481286
UGC01281,rfrac,2522.20608399855,2876.882186955294,50.22156990774532,53.63657508599234,55.7,-354.67610295674376,0.8767151103493362,-3.4150051782470214
UGC02023,lastfrac,838.9451337112615,2084.2471478215994,28.964549603114175,45.65355569746566,37.6,-1245.302014110338,0.40251710771829774,-16.689006094351488
UGC02259,lastfrac,6145.554003193403,7939.877107846856,78.39358394150253,89.10598805830536,86.0,-1794.323104653453,0.7740112245717063,-10.71240411680283
UGC02455,lastfrac,-998.4642934851988,3.461409155190849e-07,nan,0.0005883374163854318,43.8,-998.4642938313398,-2884560156.6283116,nan
UGC02487,rfrac,88679.73904957727,90732.07196842098,297.79143548728405,301.2176488329012,330.0,-2052.3329188437056,0.9773802926096737,-3.426213345617157
UGC02885,rfrac,64382.675080401954,56613.41899226826,253.73741363938026,237.93574551182564,298.0,7769.25608813369,1.1372334726718192,15.80166812755462
UGC02916,rfrac,18873.29421101302,29318.25534810473,137.38010849833034,171.22574382406614,185.0,-10444.961137091708,0.6437386531676101,-33.8456353257358
UGC02953,rfrac,55195.06690150065,53797.755468831034,234.93630392406502,231.94343161389813,266.0,1397.311432669616,1.0259734150708049,2.992872310166888
UGC03205,rfrac,32242.55949064766,30799.787646110075,179.56213267459168,175.4986827475069,212.0,1442.7718445375867,1.046843564673726,4.0634499270847755
