r_kpc,g_bar_total,g_bar_gas,g_bar_galaxies,g_resp_ground,g_resp_higher,g_resp_total,m_eff_bary_msun,m_eff_ground_msun,m_eff_full_msun,m_obs_analog_msun,closure_ground,closure_full,higher_mode_fraction,mean_activation,baryon_fraction_full,gas_mass_enclosed_msun,mode_1,mode_2,mode_3,mode_4,mode_5
1081.968209578895,222.09233727982797,208.019737011893,14.072600267934977,1613.8311609743373,93.98516848408507,1707.8163294584224,60450963977103.91,499717129447137.5,525298804636835.8,458990054252693.56,1.0887319339865738,1.1444666388079,0.055032363178006014,0.9999881562364664,0.11507919577105558,56620565043577.14,1613.8311609743373,83.15977594655045,9.395250617176858,1.249902465387663,0.1802394549700935
1129.2059068785975,213.04116881731417,199.98865637993742,13.052512437376746,1567.9689125311045,85.8221987085811,1653.7911112396855,63161214716161.51,528023577715902.3,553467647283010.4,475928281340496.3,1.1094603922857342,1.1629223750354092,0.051894219363803805,0.9999907252146364,0.11411907277005592,59291481250000.01,1567.9689125311045,76.59299300326175,8.09657844359984,0.9995913613906523,0.13303590032885512
1176.4436041782997,196.39057554451026,184.25081568085926,12.13975986365099,1523.9083748282856,78.6992808261885,1602.607655654474,63198027561208.21,553588175897662.6,578913420273116.2,492483425425257.4,1.1240747349408593,1.17549828153755,0.049107016647845246,0.9999926125922176,0.10916663070514591,59291481250000.01,1523.9083748282856,70.75798657395094,7.031031123025742,0.8101362950991748,0.10012683411264278
1223.6813014780018,181.61968193965419,170.3001370646686,11.31954487498558,1481.6701081108658,72.45103928751799,1554.1211473983838,63232479738209.58,579088878611107.5,604313341206975.4,508669781092984.9,1.138437745145411,1.188026817532742,0.04661865608662609,0.9999940270510584,0.10463525364493427,59291481250000.01,1481.6701081108658,65.56002603860917,6.149546517515411,0.6647357637441526,0.07673096764924944
1270.9189987777042,168.45553402176978,157.87592250722767,10.579611514542117,1441.2260392237793,66.9384600243357,1508.164499248115,63264733331665.84,604527931193495.6,629667169554906.1,524501173986063.5,1.152576888625913,1.2005066924247476,0.04438405761288467,0.9999951068026962,0.10047329190814552,59291481250000.01,1441.2260392237793,60.91325046286174,5.413881278545257,0.5515573889991449,0.0597708939295505
1318.1566960774064,156.67305016940463,146.76333260250487,9.909717566899769,1402.522757429561,62.04734465201796,1464.5701020815789,63294946031642.64,629905490370112.1,654972234950049.6,539990923287797.25,1.1665112564019773,1.2129319340446971,0.04236556827415137,0.999995944914433,0.0966376018007385,59291481250000.01,1402.522757429561,56.74326706835886,4.794574308442903,0.4622573136413893,0.04724596157480984
1365.394393377109,146.08527239323246,136.78403622311293,9.301236170119536,1365.4942242432273,57.68454538799003,1423.1787696312174,63323268037479.516,655221105162570.2,680225500673373.8,555151822145696.7,1.1802557048810531,1.2252963487434112,0.04053218514701255,0.9999966052369229,0.09309158209269439,59291481250000.01,1365.4942242432273,52.98685848944166,4.268948126570906,0.3909029005888349,0.037835871388626714
1412.6320906768112,136.5358614604832,127.78901112207834,8.746850338404865,1330.0687120939353,53.77400581101203,1383.8427179049474,63349840480440.02,680474454027935.8,705424490257852.0,569996131048884.2,1.1938229348605467,1.2375952253566316,0.0388584664393238,0.9999971324271576,0.08980385761385165,59291481250000.01,1330.0687120939353,49.59066668829511,3.8194591768033614,0.333225857429036,0.030654088484523917
1459.8697879765134,127.89326338893453,119.65294802806677,8.24031536086775,1296.1726247225681,50.25329950754835,1346.4259242301164,63374794797764.6,705665654672562.0,730567611662401.5,584535580477627.5,1.2072244671504144,1.2498257352708118,0.03732347885107982,0.9999975583122283,0.08674733698302844,59291481250000.01,1296.1726247225681,46.509664698464874,3.4324264737414003,0.2861138705926945,0.025094464749376533
1507.1074852762158,120.04613434907009,112.26986269184616,7.776271657223924,1263.732632760672,47.070816670659426,1310.8034494313315,63398252685400.414,730795343087154.1,755654182112467.0,598781380099178.9,1.2204710556732896,1.2619867738494215,0.035909896858358326,0.9999979059848094,0.08389850038038246,59291481250000.01,1263.732632760672,43.7057350706284,3.0970807128178146,0.24726583789754703,0.020735049315661558
1554.345182575918,112.89972255552199,105.5496268173388,7.350095738183191,1232.6768901483467,44.183550004615206,1276.860440152962,63420326389361.55,755864638352886.8,780684319915481.8,612744232489668.2,1.233572832308351,1.2740786098360302,0.034603272695426464,0.9999981924814337,0.08123683897766455,59291481250000.01,1232.6768901483467,41.146454730448696,2.804861245493628,0.21495703756636342,0.01727699110652109
1601.5828798756204,106.37298471768598,99.41520436649758,6.957780351188408,1202.9357383288373,41.55537490794669,1244.491113236784,63441119183784.0,780875059279520.0,805658790781072.6,626434349884888.9,1.246539337159609,1.2861025116664138,0.03339145974282271,0.999998430564372,0.07874440136410465,59291481250000.01,1202.9357383288373,38.80409480600883,2.5488971950647863,0.1878777660659328,0.014505140807149703
1648.8205771753226,100.39627122227361,93.8004339608102,6.595837261463411,1174.442115043775,39.155717218677815,1213.5978322624528,63460725941122.664,805828428338124.1,830578851926478.8,639861472852155.6,1.2593795102964673,1.2980604195845835,0.03226416212830709,0.9999986299280982,0.07640541989954265,59291481250000.01,1174.442115043775,36.654810801147484,2.323622982949491,0.16502120385714647,0.012262230723693762
1696.0582744750247,94.90945523418371,88.64823745043192,6.261217783751794,1147.1317847336543,36.95851788089885,1184.0903026145531,63479233736732.35,830726780467094.5,855446113112466.0,653034890066197.5,1.2721016795639886,1.3099546840839549,0.031212583870750307,0.9999987980303955,0.07420599937706035,59291481250000.01,1147.1317847336543,34.67799028919081,2.1244914108392785,0.145604509322915,0.01043167154585268
1743.2959717747271,89.8604109299989,83.90916355857607,5.951247371422834,1120.9434553919505,34.94142304980741,1155.8848784417578,63496722453369.914,855572284275475.1,880262421106117.1,665963458589776.5,1.2847135578387565,1.3217878695178462,0.030229154911094396,0.9999989406744941,0.07213385568996734,59291481250000.01,1120.9434553919505,32.855726946547186,1.9477576332468134,0.1290125682017567,0.008925901811657562
