name,type,source,redshift,M500_Msun,M_bar_Msun,M_gas_Msun,M_star_Msun,sigma_kms,sigma2_kms2,Q1_MOND_kms2,Q1_cluster_kms2,IRS_closure,Q1_ref_kms2
PSZ2 G215.61+22.61,cluster,PSZ2_Planck2016,0.249188,519490900000000.0,70131271500000.0,64936362500000.0,5194909000000.0,770.9311382548276,594334.819930884,1056820.9617041913,292707.23433653405,0.2769695577049541,1056820.9617041913
PSZ2 G216.44-29.11,cluster,PSZ2_Planck2016,0.47,616827100000000.0,83271658500000.0,77103387500000.0,6168271000000.0,816.7258770044351,667041.1581686637,1151580.1482444515,308898.08212601376,0.2682384570426291,1151580.1482444515
PSZ2 G216.62+47.00,cluster,PSZ2_Planck2016,0.3826,823875000000000.0,111223125000000.0,102984375000000.0,8238750000000.0,900.1415380043825,810254.7884408952,1330892.9022042018,331895.2501283952,0.2493778797517936,1330892.9022042018
PSZ2 G216.80+09.25,cluster,PSZ2_Planck2016,0.273,516692500000000.0,69753487500000.0,64586562500000.0,5166925000000.0,769.5332738524658,592181.4595660941,1053970.6699157858,292178.68517734413,0.2772170929582791,1053970.6699157858
PSZ2 G217.09+40.15,cluster,PSZ2_Planck2016,0.1357,388982900000000.0,52512691500000.0,48622862500000.0,3889829000000.0,699.5166391660937,489323.5284702269,914487.3483210092,263471.69359787693,0.2881086261954401,914487.3483210092
PSZ2 G217.40+10.88,cluster,PSZ2_Planck2016,0.189,533980500000000.0,72087367500000.0,66747562500000.0,5339805000000.0,778.0901753670998,605424.3210028042,1071457.9842209895,295383.76212205424,0.275683943254961,1071457.9842209895
PSZ2 G218.54+13.26,cluster,PSZ2_Planck2016,0.327,596396600000000.0,80513541000000.0,74549575000000.0,5963966000000.0,807.5347340316432,652112.3466675568,1132348.283426192,305831.65818065684,0.2700862116868228,1132348.283426192
PSZ2 G218.59+71.31,cluster,PSZ2_Planck2016,0.1371,359104100000000.0,48479053500000.0,44888012500000.0,3591041000000.0,680.9816983705482,463736.07351563626,878663.5857657954,255232.51231748628,0.2904780810906593,878663.5857657954
PSZ2 G218.81+35.51,cluster,PSZ2_Planck2016,0.1751,541820600000000.0,73145780999999.98,67727574999999.99,5418205999999.999,781.910149348979,611383.4816549426,1079295.0942148776,296790.7921520427,0.2749857696406377,1079295.0942148776
PSZ2 G219.12+44.49,cluster,PSZ2_Planck2016,0.3403,522501600000000.0,70537716000000.0,65312700000000.0,5225016000000.0,772.4294792186197,596647.300365948,1059878.930771614,293271.637621548,0.2767029602221078,1059878.930771614
PSZ2 G219.45-35.90,cluster,PSZ2_Planck2016,0.072,247200600000000.0,33372081000000.0,30900075000000.0,2472006000000.0,600.683962468703,360821.22276710224,729016.2464461237,217291.23959420223,0.2980609014592937,729016.2464461237
PSZ2 G219.88+22.83,cluster,PSZ2_Planck2016,0.232813,506792600000000.0,68417001000000.0,63349075000000.0,5067926000000.0,764.5473143014578,584532.5958055721,1043824.7232831034,290277.91620467213,0.2780906695634413,1043824.7232831034
PSZ2 G219.89-34.39,cluster,PSZ2_Planck2016,0.7,791641100000000.0,106871548500000.0,98955137500000.0,7916411000000.0,888.1512229726433,788812.5948678019,1304597.7146314897,329168.7519241519,0.2523143711141119,1304597.7146314897
PSZ2 G220.11+22.91,cluster,PSZ2_Planck2016,0.2248,487473400000000.0,65808909000000.0,60934175000000.0,4874734000000.0,754.6279872127208,569463.3990847223,1023735.8401696006,286425.86236662226,0.2797849319402264,1023735.8401696006
PSZ2 G220.53-38.55,cluster,PSZ2_Planck2016,0.067,239434300000000.0,32323630500000.0,29929287500000.0,2394343000000.0,594.2757608510282,353163.6799350684,717473.1104232863,214142.97751761845,0.298468297148141,717473.1104232863
PSZ2 G220.74-58.91,cluster,PSZ2_Planck2016,0.0685,191782100000000.0,25890583500000.0,23972762500000.0,1917821000000.0,551.5754265665089,304235.45119202626,642120.4206254485,192882.64061687625,0.3003839068519291,642120.4206254485
PSZ2 G220.83+42.20,cluster,PSZ2_Planck2016,0.3104,575004800000000.0,77625648000000.0,71875600000000.0,5750048000000.0,797.6842405936628,636300.1476914885,1111855.0722501276,302439.99820828857,0.2720138674154921,1111855.0722501276
PSZ2 G222.52+20.58,cluster,PSZ2_Planck2016,0.0822,228899400000000.03,30901419000000.004,28612425000000.004,2288994000000.0005,585.3585980918547,342644.68836006144,701511.4658524654,209740.77538296144,0.2989841016042237,701511.4658524654
PSZ2 G222.77+60.67,cluster,PSZ2_Planck2016,0.1603,349950200000000.0,47243277000000.0,43743775000000.0,3499502000000.0,675.0990498356803,455758.7270890383,867392.3142053304,252570.1170397383,0.2911832545704913,867392.3142053304
PSZ2 G222.78+12.84,cluster,PSZ2_Planck2016,0.369,672489000000000.0,90786015000000.0,84061125000000.0,6724890000000.0,840.7824157238239,706915.070590389,1202416.809796729,316453.498676889,0.2631811998123897,1202416.809796729
PSZ2 G222.99-65.70,cluster,PSZ2_Planck2016,0.2323,618371600000000.0,83480166000000.0,77296450000000.0,6183716000000.0,817.412438396648,668163.0944455538,1153020.9924799444,309123.24849615386,0.2680985433155769,1153020.9924799444
PSZ2 G223.04-20.27,cluster,PSZ2_Planck2016,0.19,393046000000000.0,53061210000000.0,49130750000000.0,3930460000000.0,701.9632467725993,492752.3998195292,919251.0551282518,264541.4417305292,0.2877793180162529,919251.0551282518
PSZ2 G223.16-68.81,cluster,PSZ2_Planck2016,0.2138,413965300000000.0,55885315500000.0,51745662500000.0,4139653000000.0,714.3010383392484,510225.9733725285,943396.8371678086,269868.81993857847,0.2860607639397619,943396.8371678086
PSZ2 G223.47+26.85,cluster,PSZ2_Planck2016,0.3269,527171300000000.0,71168125500000.0,65896412500000.0,5271713000000.0,774.742157969491,600225.4113352238,1064604.5694381054,294138.42037227383,0.2762888952538679,1064604.5694381054
PSZ2 G223.93-60.10,cluster,PSZ2_Planck2016,0.2537,696042800000000.0,93965778000000.0,87005350000000.0,6960428000000.0,850.5641535674897,723459.3793339803,1223292.7991973185,319321.96473378025,0.2610347783811922,1223292.7991973185
PSZ2 G224.00+69.33,cluster,PSZ2_Planck2016,0.1904,527427900000000.0,71202766500000.0,65928487500000.0,5274279000000.0,774.8688447182807,600421.726515043,1064863.635417604,294185.74807519297,0.2762661229950097,1064863.635417604
PSZ2 G224.01-11.14,cluster,PSZ2_Planck2016,0.62,845364400000000.0,114124194000000.0,105670550000000.0,8453644000000.0,907.9630329590706,824396.8692202342,1348138.2287704947,333560.12324563425,0.2474227910218389,1348138.2287704947
PSZ2 G224.03-76.42,cluster,PSZ2_Planck2016,0.413,592987000000000.0,80053245000000.0,74123375000000.0,5929870000000.0,805.9805769554907,649604.6904295058,1129106.825757796,305303.6890090058,0.2703939804846209,1129106.825757796
PSZ2 G224.38-24.95,cluster,PSZ2_Planck2016,0.0915,253656100000000.0,34243573500000.0,31707012500000.0,2536560999999.9995,605.909584677958,367126.4248046156,738473.8174234132,219848.23953846568,0.2977062075207101,738473.8174234132
PSZ2 G224.40-76.54,cluster,PSZ2_Planck2016,0.413,581509300000000.0,78503755500000.0,72688662500000.0,5815093000000.0,800.7048100154273,641128.1927818415,1118126.0840508663,303491.39075189154,0.2714285938598003,1118126.0840508663
PSZ2 G224.53-30.27,cluster,PSZ2_Planck2016,0.200138,371510200000000.0,50153877000000.0,46438775000000.0,3715102000000.0,688.7975082837769,474442.0074179397,893712.4698334385,258735.1978286397,0.2895060845205173,893712.4698334385
PSZ2 G224.82+13.62,cluster,PSZ2_Planck2016,0.294,547541800000000.06,73918143000000.02,68442725000000.01,5475418000000.001,784.6746167134742,615714.2541144376,1084978.3851075866,297799.7128857376,0.2744752494366123,1084978.3851075866
PSZ2 G225.48+29.41,cluster,PSZ2_Planck2016,0.203,459820900000000.0,62075821500000.0,57477612500000.0,4598209000000.0,739.9650432435261,547548.2652223934,994275.6421824052,280566.36453304347,0.2821816734011594,994275.6421824052
PSZ2 G225.56-27.27,cluster,PSZ2_Planck2016,0.1706,354492100000000.0,47856433500000.0,44311512500000.0,3544921000000.0,678.0304568462591,459725.3004111468,873002.9820685955,253899.5655709968,0.2908347059358004,873002.9820685955
