r,aN,aBL,aTot,v
0.751172543135784,0.32609348450575487,8.126913503560464e-09,0.3260934926326684,0.49492674019587135
0.7636754188547138,0.32148645222084776,8.711589904002097e-09,0.32148646093243766,0.4954909764150089
0.7761782945736435,0.316976366586246,9.340769197234044e-09,0.3169763759270152,0.4960142970592327
0.7886811702925732,0.3125605264708588,1.0017920634901923e-08,0.31256053648877946,0.49649834813949295
0.801184046011503,0.30823632416624974,1.074678918897644e-08,0.3082363349130389,0.49694469906961
0.8136869217304327,0.304001241535894,1.1531417727391892e-08,0.3040012530673117,0.4973548469760148
0.8261897974493624,0.2998528463483473,1.2376170992964274e-08,0.2998528587245183,0.49773022071622497
0.8386926731682921,0.29578878878435605,1.3285761533221783e-08,0.2957888020701176,0.4980721846293304
0.8511955488872219,0.2918067981085417,1.42652777409628e-08,0.29180681237381945,0.49838204203960224
0.8636984246061516,0.2879046794968573,1.5320214178547223e-08,0.2879046948170714,0.4986610385324078
0.8762013003250814,0.2840803110115391,1.6456504373210036e-08,0.28408032746804346,0.4989103650198847
0.8887041760440111,0.28033164071576905,1.7680556286155326e-08,0.28033165839632534,0.49913116061227586
0.9012070517629408,0.27665668392072124,1.899929067493599e-08,0.27665670292001193,0.4993245153094325
0.9137099274818705,0.2730535205580964,2.0420182586767028e-08,0.273053540978279,0.49949147252573917
0.9262128032008002,0.26952029267164873,2.1951306240062267e-08,0.26952031462295495,0.4996330314605798
0.9387156789197301,0.26605520202158744,2.360138357276192e-08,0.266055225622971,0.49975014932544964
0.9512185546386598,0.262656507796084,2.537983675906209e-08,0.26265653317592075,0.49984374343788734
0.9637214303575895,0.25932252442444753,2.7296845021112107e-08,0.25932255172129254,0.49991469319157245
0.9762243060765192,0.2560516194868393,2.9363406089281495e-08,0.2560516488502454,0.499963841911172
0.9887271817954489,0.25284221171568577,3.1591402693875564e-08,0.2528422433070885,0.4999919985998344
1.0012300575143787,0.2496927690842222,3.399367450289429e-08,0.2496928030778967,0.49999993958660527
1.0137329332333083,0.2466018069778514,3.6584095954783114e-08,0.24660184356194734,0.49998841008046807
1.026235808952238,0.24356788644424338,3.937766047233955e-08,0.24356792582190384,0.49995812563719794
1.0387386846711677,0.24058961251832384,4.239057158424585e-08,0.24058965490889542,0.4999097735447429
1.0512415603900975,0.23766563261851106,4.564034152437243e-08,0.2376656782588526,0.4998440141324162
1.0637444361090271,0.23479463501075964,4.914589792629795e-08,0.23479468415665758,0.4997614820087887
1.076247311827957,0.23197534733715228,5.2927699281744323e-08,0.23197540026485156,0.4996627872328105
1.0887501875468868,0.22920653520596052,5.7007859887141534e-08,0.2292065922138204,0.49954851642235887
1.1012530632658164,0.22648700084025444,6.141028506268787e-08,0.2264870622505395,0.49941923380410796
1.1137559389847462,0.2238155817823017,6.616081749343964e-08,0.2238156479431192,0.4992754822083377
1.1262588147036758,0.22119114965113687,7.128739561255747e-08,0.2211912209385325,0.49911778401204104
1.1387616904226057,0.21861260895082332,7.682022502334512e-08,0.21861268577104834,0.49894664203345923
1.1512645661415353,0.21607889592705765,8.279196403957586e-08,0.21607897871902168,0.49876254038095175
1.163767441860465,0.21358897746988656,8.92379245134198e-08,0.21358906670781108,0.4985659452589131
1.176270317579395,0.211141850060426,9.619628921756654e-08,0.2111419462567152,0.498357305733264
1.1887731932983245,0.20873653875957449,1.0370834715357165e-07,0.20873664246792165,0.4981370544588727
1.2012760690172544,0.20637209623681987,1.1181874827269027e-07,0.20637220805556813,0.49790560837110864
1.213778944736184,0.20404760183733267,1.2057577921923616e-07,0.2040477224131119,0.49766336934358424
1.2262818204551138,0.20176216068563002,1.3003166184064277e-07,0.20176229071729185,0.4974107248140058
1.2387846961740434,0.1995149028241823,1.4024287635374033e-07,0.19951504306705867,0.49714804837993426
1.2512875718929732,0.19730498238541275,1.5127051121427467e-07,0.19730513365592395,0.4968757003661375
1.263790447611903,0.1951315767956199,1.6318064190736084e-07,0.19513173997626182,0.49659402836511174
1.2762933233308327,0.1929938860094237,1.760447410615354e-07,0.19299406205416475,0.49630336775225176
1.2887961990497625,0.19089113177340422,1.8994012248951067e-07,0.1908913217135267,0.4960040421770559
1.301299074768692,0.18882255691766947,2.0495042197595063e-07,0.18882276186809144,0.49569636403166856
1.313801950487622,0.18678742467414594,2.2116611786800753e-07,0.1867876458402638,0.495380634897984
1.3263048262065515,0.18478501802044792,2.38685094779486e-07,0.1847852567055427,0.49505714597446
1.3388077019254814,0.1828146390482336,2.5761325399599776e-07,0.18281489666148762,0.4947261784837251
1.3513105776444112,0.18087560835500913,2.7806517446814036e-07,0.1808758864201836,0.494388004061995
1.3638134533633408,0.17896726445839173,3.0016482860452704e-07,0.17896756462322033,0.49404288513126166
1.3763163290822706,0.17708896323188814,3.240463574284935e-07,0.17708928727824558,0.4936910752551545
1.3888192048012002,0.17524007736129069,3.4985491004382855e-07,0.17524042721620073,0.49333281947933133
1.40132208052013,0.17341999582083387,3.777475527684037e-07,0.17342037356838663,0.49296835465720285
1.4138249562390597,0.17162812336829514,4.0789425374277145e-07,0.17162853126254887,0.49259790976175205
1.4263278319579895,0.16986388005826047,4.4047894930658785e-07,0.1698643205372098,0.49222170618417005
1.4388307076769193,0.16812670077281264,4.7570069896229893e-07,0.1681271764735116,0.4918399580199895
1.451333583395849,0.16641603476893163,5.137749363162597e-07,0.16641654854386795,0.49145287234336227
1.4638364591147788,0.16473134524193167,5.549348240061191e-07,0.16473190017675568,0.4910606494700947
1.4763393348337084,0.16307210890428858,5.9943272129389e-07,0.16307270833700988,0.49066348321002295
1.4888422105526382,0.16143781557923992,6.475417737310179e-07,0.16143846312101365,0.49026156110928226
1.5013450862715678,0.15982796780856937,6.995576350896883e-07,0.15982866736620446,0.48985506468299783
1.5138479619904976,0.15824208047401161,7.558003326087414e-07,0.1582428362743442,0.48944416963889964
1.5263508377094275,0.1566796804317411,8.166162875283667e-07,0.15668049704802864,0.4890290460923441
1.538853713428357,0.15514030615942878,8.823805038914639e-07,0.15514118853993267,0.4886098587731978
1.551356589147287,0.15362350741537667,9.534989396774152e-07,0.15362446091431634,0.4881867672250288
1.5638594648662165,0.1521288449092596,1.0304110755134648e-06,0.15212987532033512,0.4877599259970252
1.5763623405851463,0.150655889984025,1.113592697487365e-06,0.1506570035767225,0.48732948482904975
1.588865216304076,0.14920422430851996,1.2035589119708443e-06,0.14920542786743193,0.4868955888302229
1.6013680920230058,0.147773439580435,1.300867411866005e-06,0.1477747404478469,0.486458378651415
1.6138709677419356,0.14636313723916994,1.4061220153152908e-06,0.14636454336118526,0.48601799065201545
1.6263738434608652,0.14497292818824556,1.5199764996815319e-06,0.14497444816474525,0.4855745570613381
1.638876719179795,0.14360243252689944,1.643138755518463e-06,0.14360407566565497,0.485128206135013
1.6513795948987247,0.14225127929052098,1.7763752873271771e-06,0.14225305566580831,0.4846790623067065
1.6638824706176545,0.14091910619959377,1.92051609014352e-06,0.1409210267156839,0.4842272463355079
1.676385346336584,0.139605559416829,2.076459933439763e-06,0.13960763587676245,0.4837728754493147
1.688888222055514,0.13831029331218503,2.2451800864677922e-06,0.1383125384922715,0.48331606348454553
1.7013910977744438,0.13703297023548233,2.4277305220365584e-06,0.13703539796600436,0.4828569210225095
1.7138939734933734,0.13577326029633452,2.625252638823536e-06,0.13577588554897335,0.48239555552275915
1.7263968492123032,0.13453084115112743,2.8389825456877725e-06,0.13453368013367312,0.48193207145375694
1.7388997249312328,0.1333053977967896,3.070258955102934e-06,0.1333084680557447,0.4814665704211856
1.7514026006501626,0.13209662237110767,3.32053173678695e-06,0.13209994290284446,0.48099915129424065
1.7639054763690922,0.13090421395935103,3.5913711868947763e-06,0.13090780533053792,0.48052991033024667
1.776408352088022,0.1297278784069775,3.884478072792118e-06,0.12973176288505028,0.4800589412979475
1.7889112278069519,0.12856732813820443,4.201694518469187e-06,0.1285715298327229,0.47958633559983177
1.8014141035258815,0.12742228198023434,4.545015801118509e-06,0.12742682699603544,0.47911218239386355
1.8139169792448113,0.12629246499293584,4.9166031353247504e-06,0.12629738159607115,0.478636568715006
1.826419854963741,0.12517760830378666,5.31879752773491e-06,0.1251829271013144,0.47815957959693667
1.8389227306826708,0.12407744894789396,5.7541347920373996e-06,0.124083203082686,0.47768129819437705
1.8514256064016004,0.1229917297129141,6.225361821621253e-06,0.12299795507473572,0.47720180590647326
1.8639284821205302,0.12192019898870109,6.735454225462551e-06,0.12192693444292654,0.47672118250169404
1.87643135783946,0.12086261062152019,7.2876354416454785e-06,0.12086989825696184,0.47623950624473427
1.8889342335583896,0.11981872377266795,7.88539745252799e-06,0.11982660917012047,0.4757568540259428
