r,aN,aChi,aTot,v,chi
96.73760845105639,0.00010468310215099127,0.0010337241286112046,0.0011384072307621957,0.33185357154522943,0.23685663830135711
96.76261145143143,0.00010462956313639897,0.0010334570191937586,0.0011380865823301576,0.3318497096037611,0.23688248116686403
96.78761445180648,0.00010457606518421108,0.0010331900477802687,0.0011377661129644797,0.33184584957165963,0.23690831735555937
96.81261745218153,0.00010452260825244731,0.001032923214263812,0.0011374458225162593,0.3318419914475089,0.23693414687089226
96.83762045255656,0.00010446919229918099,0.0010326565185375754,0.0011371257108367563,0.33183813522989397,0.2369599697163092
96.86262345293162,0.00010441581728253885,0.0010323899604948558,0.0011368057777773946,0.33183428091740136,0.23698578589525407
96.88762645330667,0.00010436248316070124,0.0010321235400290608,0.001136486023189762,0.331830428508619,0.237011595411168
96.91262945368172,0.00010430918989190187,0.001031857257033708,0.0011361664469256099,0.33182657800213616,0.23703739826748954
96.93763245405675,0.00010425593743442773,0.0010315911114024247,0.0011358470488368525,0.33182272939654367,0.23706319446765448
96.9626354544318,0.00010420272574661903,0.0010313251030289474,0.0011355278287755665,0.3318188826904336,0.23708898401509604
96.98763845480686,0.00010414955478686914,0.0010310592318071232,0.0011352087865939924,0.33181503788239936,0.23711476691324473
97.01264145518189,0.00010409642451362449,0.001030793497630908,0.0011348899221445324,0.3318111949710359,0.23714054316552843
97.03764445555694,0.00010404333488538451,0.0010305279003943668,0.0011345712352797512,0.33180735395493954,0.2371663127753724
97.062647455932,0.0001039902858607015,0.001030262439991674,0.0011342527258523755,0.33180351483270787,0.2371920757461992
97.08765045630705,0.00010393727739818058,0.0010299971163171137,0.0011339343937152942,0.33179967760294,0.23721783208142874
97.11265345668208,0.00010388430945647966,0.0010297319292650777,0.0011336162387215573,0.3317958422642363,0.23724358178447832
97.13765645705713,0.00010383138199430923,0.0010294668787300672,0.0011332982607243764,0.3317920088151986,0.23726932485876262
97.16265945743218,0.00010377849497043238,0.0010292019646066916,0.001132980459577124,0.33178817725443005,0.23729506130769365
97.18766245780722,0.0001037256483436648,0.0010289371867896696,0.0011326628351333344,0.3317843475805353,0.23732079113468077
97.21266545818227,0.00010367284207287438,0.0010286725451738273,0.0011323453872467016,0.3317805197921202,0.23734651434313075
97.23766845855732,0.00010362007611698157,0.001028408039654099,0.0011320281157710806,0.3317766938877921,0.23737223093644774
97.26267145893237,0.00010356735043495896,0.0010281436701255278,0.0011317110205604868,0.3317728698661596,0.2373979409180332
97.28767445930741,0.00010351466498583135,0.0010278794364832642,0.0011313941014690957,0.33176904772583293,0.237423644291286
97.31267745968246,0.00010346201972867561,0.0010276153386225661,0.0011310773583512418,0.3317652274654233,0.23744934105960244
97.33768046005751,0.00010340941462262066,0.0010273513764387998,0.0011307607910614203,0.3317614090835436,0.23747503122637614
97.36268346043255,0.00010335684962684734,0.0010270875498274387,0.001130444399454286,0.3317575925788081,0.2375007147949981
97.3876864608076,0.00010330432470058836,0.0010268238586840631,0.0011301281833846514,0.3317537779498321,0.23752639176885676
97.41268946118265,0.00010325183980312818,0.0010265603029043615,0.0011298121427074897,0.33174996519523264,0.23755206215133792
97.4376924615577,0.00010319939489380301,0.0010262968823841283,0.0011294962772779313,0.3317461543136278,0.23757772594582477
97.46269546193274,0.0001031469899320007,0.0010260335970192663,0.001129180586951267,0.3317423453036374,0.23760338315569787
97.48769846230779,0.00010309462487716055,0.0010257704467057833,0.001128865071582944,0.3317385381638822,0.23762903378433528
97.51270146268284,0.0001030422996887734,0.001025507431339795,0.0011285497310285684,0.33173473289298455,0.23765467783511232
97.53770446305788,0.00010299001432638146,0.0010252445508175238,0.0011282345651439053,0.33173092948956817,0.23768031531140182
97.56270746343293,0.00010293776874957822,0.0010249818050352974,0.0011279195737848757,0.33172712795225806,0.23770594621657398
97.58771046380798,0.00010288556291800846,0.0010247191938895504,0.0011276047568075588,0.3317233282796805,0.2377315705539964
