r,aN,aExtra,aTot,v
27.538785297549595,0.0012278039651762353,0.003630283733067074,0.004858087698243309,0.36576745902087765
27.572124020670113,0.0012249403674047974,0.0036259082668278477,0.004850848634232645,0.3657160102436872
27.605462743790635,0.0012220867760839229,0.003621543162280834,0.004843629938364757,0.3656646630565185
27.638801466911154,0.0012192431446462957,0.0036171883849634386,0.004836431529609734,0.3656134172253432
27.672140190031673,0.0012164094267951735,0.0036128439005346765,0.00482925332732985,0.3655622725159812
27.705478913152195,0.001213585576502505,0.003608509674775092,0.004822095251277597,0.36551122869411656
27.738817636272714,0.00121077154800706,0.003604185673586675,0.004814957221593735,0.3654602855253125
27.772156359393236,0.0012079672958125757,0.0035998718629927525,0.004807839158805328,0.3654094427750263
27.805495082513755,0.0012051727746859179,0.003595568209137892,0.00480074098382381,0.36535870020862404
27.838833805634273,0.001202387939655257,0.003591274678287777,0.004793662617943034,0.36530805759139484
27.872172528754795,0.0011996127460082574,0.003586991236829088,0.004786603982837345,0.3652575146885651
27.905511251875314,0.0011968471492902857,0.0035827178512693723,0.004779565000559658,0.3652070712653124
27.938849974995836,0.0011940911053026262,0.0035784544882369,0.004772545593539526,0.3651567270867789
27.972188698116355,0.0011913445701007197,0.0035742011144805235,0.004765545684581244,0.3651064819180846
28.005527421236874,0.001188607499992408,0.0035699576968695177,0.004758565196861925,0.3650563355243408
28.038866144357396,0.0011858798515361974,0.0035657242023934234,0.004751604053929621,0.36500628767066273
28.072204867477915,0.0011831615815395369,0.0035615005981618785,0.004744662179701415,0.36495633812218203
28.105543590598437,0.0011804526470571047,0.0035572868514044402,0.004737739498461545,0.36490648664405917
28.138882313718955,0.0011777530053891157,0.0035530829294704086,0.004730835934859524,0.36485673300149574
28.172221036839474,0.0011750626140796356,0.003548888799828636,0.004723951413908272,0.36480707695974623
28.205559759959996,0.0011723814309149137,0.0035447044300673312,0.004717085860982245,0.3647575182841295
28.238898483080515,0.0011697094139217269,0.003540529787893864,0.004710239201815591,0.3647080567400406
28.272237206201037,0.0011670465213657357,0.003536364841134554,0.0047034113625002896,0.36465869209296164
28.305575929321556,0.0011643927117498559,0.0035322095577344646,0.0046966022694843205,0.364609424108473
28.338914652442075,0.0011617479438126418,0.0035280639057571794,0.004689811849569821,0.3645602525522642
28.372253375562597,0.0011591121765266808,0.0035239278533845822,0.004683040029911263,0.36451117719014403
28.405592098683115,0.0011564853690970045,0.0035198013689166315,0.004676286738013636,0.36446219778805156
28.438930821803638,0.0011538674809595088,0.00351568442077112,0.004669551901730629,0.36441331411206557
28.472269544924156,0.0011512584717793882,0.0035115769774834416,0.00466283544926283,0.3643645259284153
28.505608268044675,0.0011486583014495824,0.0035074790077063473,0.0046561373091559295,0.36431583300348963
28.538946991165197,0.0011460669300892338,0.0035033904802096944,0.004649457410298928,0.36426723510384695
28.572285714285716,0.0011434843180421607,0.0034993113638801935,0.004642795681922354,0.36421873199622434
28.605624437406238,0.001140910425875337,0.0034952416277211564,0.004636152053596493,0.36417032344754696
28.638963160526757,0.00113834521437739,0.003491181240852228,0.004629526455229618,0.3641220092249369
28.672301883647275,0.0011357886445571045,0.0034871301725091226,0.004622918817066227,0.36407378909572224
28.705640606767798,0.0011332406776419425,0.003483088392043354,0.004616329069685296,0.36402566282744525
28.738979329888316,0.0011307012750765735,0.0034790558689219596,0.004609757143998533,0.3639776301878713
28.77231805300884,0.0011281703985214137,0.003475032572727226,0.0046032029712486395,0.36392969094499716
28.805656776129357,0.0011256480098511827,0.003471018473156404,0.004596666483007586,0.3638818448670587
28.838995499249876,0.0011231340711534638,0.0034670135400214196,0.004590147611174883,0.36383409172253917
28.872334222370398,0.0011206285447272813,0.003463017743248593,0.004583646287975874,0.3637864312801769
28.905672945490917,0.001118131393081687,0.003459031052878341,0.0045771624459600285,0.3637388633089731
28.93901166861144,0.001115642578934358,0.0034550534390648795,0.0045706960179992375,0.363691387578199
28.972350391731958,0.0011131620652102038,0.003451084872075929,0.0045642469372861325,0.3636440038574035
29.005689114852476,0.0011106898150399869,0.0034471253222924077,0.004557815137332394,0.36359671191641996
29.039027837973,0.0011082257917589518,0.003443174760208128,0.00455140055196708,0.36354951152537357
29.072366561093517,0.001105769958905467,0.0034392331564294903,0.0045450031153349574,0.36350240245468785
29.10570528421404,0.0011033222802196735,0.003435300481675168,0.0045386227618948415,0.36345538447509185
29.139044007334558,0.00110088271964215,0.0034313767067757953,0.0045322594264179455,0.3634084573576259
29.172382730455077,0.0010984512413125815,0.0034274618026736516,0.004525913043986233,0.3633616208736489
29.2057214535756,0.0010960278095684432,0.0034235557404223415,0.0045195835499907844,0.36331487479484403
29.239060176696118,0.001093612388943693,0.003419658491186471,0.004513270880130165,0.36326821889322514
29.27239889981664,0.0010912049441674724,0.003415770026241329,0.0045069749704088015,0.36322165294114245
29.30573762293716,0.001088805440162821,0.0034118903169725544,0.004500695757135376,0.36317517671128874
29.339076346057677,0.0010864138420453968,0.0034080193348758137,0.00449443317692121,0.363128789976705
29.3724150691782,0.0010840301151222094,0.0034041570515564645,0.004488187166678674,0.3630824925107859
29.405753792298718,0.001081654224890362,0.00340030343872923,0.0044819576636195915,0.3630362840872853
29.43909251541924,0.0010792861370358018,0.0033964584682178566,0.004475744605253658,0.36299016448032173
29.47243123853976,0.0010769258174320828,0.0033926221119547823,0.004469547929386865,0.36294413346438337
29.505769961660278,0.001074573232139134,0.0033887943419807984,0.004463367574119932,0.3628981908143335
29.5391086847808,0.0010722283474020413,0.0033849751304447047,0.004457203477846746,0.362852336305415
29.57244740790132,0.0010698911296498361,0.0033811644496029745,0.00445105557925281,0.3628065697132557
29.60578613102184,0.0010675615454942926,0.003377362271819406,0.004444923817313698,0.3627608908138728
29.63912485414236,0.0010652395617287377,0.0033735685695647803,0.004438808131293518,0.36271529938367764
29.672463577262878,0.001062925145326865,0.0033697833154165122,0.004432708460743377,0.3626697951994801
29.7058023003834,0.0010606182634415626,0.0033660064820583064,0.004426624745499869,0.3626243780384933
29.73914102350392,0.0010583188834037461,0.0033622380422798047,0.004420556925683551,0.3625790476783374
29.77247974662444,0.0010560269727212036,0.0033584779689762364,0.00441450494169744,0.36253380389704426
29.80581846974496,0.0010537424990774457,0.0033547262351480704,0.004408468734225516,0.3624886464730614
29.83915719286548,0.0010514654303305686,0.0033509828139006563,0.004402448244231225,0.3624435751852558
29.872495915986,0.0010491957345121214,0.003347247678443875,0.0043964434129559965,0.36239858981291795
29.90583463910652,0.001046933379825986,0.0033435208020917845,0.004390454181917771,0.3623536901357658
29.93917336222704,0.0010446783346472624,0.003339802158262259,0.004384480492909522,0.3623088759339479
29.97251208534756,0.001042430567521163,0.003336091720476638,0.004378522287997801,0.3622641469880476
30.00585080846808,0.0010401900471619175,0.0033323894623593663,0.004372579509521284,0.36221950307908624
30.0391895315886,0.001037956742451682,0.003328695357637634,0.004366652100089316,0.36217494398852657
30.07252825470912,0.001035730622439461,0.003325009380141022,0.004360740002580483,0.3621304694982761
30.105866977829642,0.0010335116563400326,0.0033213315038011343,0.0043548431601411666,0.3620860793906902
30.13920570095016,0.001031299813532886,0.0033176617026512483,0.004348961516184135,0.3620417734485756
30.17254442407068,0.0010290950635611646,0.0033139999508259447,0.0043430950143871095,0.3619975514551928
30.2058831471912,0.0010268973761306162,0.0033103462225607485,0.004337243598691365,0.3619534131942596
30.23922187031172,0.0010247067211085548,0.0033067004921917714,0.004331407213300326,0.3619093584499538
30.272560593432242,0.0010225230685228259,0.0033030627341553405,0.004325585802678167,0.36186538700691595
30.30589931655276,0.0010203463885607817,0.0032994329229876452,0.004319779311548427,0.36182149865025187
30.33923803967328,0.0010181766515682644,0.003295811033324365,0.00431398768489263,0.36177769316553576
30.372576762793802,0.0010160138280485942,0.003292197039900313,0.004308210867948907,0.3617339703388122
30.40591548591432,0.0010138578886615696,0.0032885909175490655,0.004302448806210635,0.3616903299565991
30.439254209034843,0.0010117088042224693,0.0032849926412026054,0.004296701445425074,0.3616467718058897
30.47259293215536,0.0010095665457010674,0.0032814021858909503,0.004290968731592018,0.36160329567415533
30.50593165527588,0.0010074310842206509,0.003277819526741792,0.004285250610962443,0.36155990134934696
30.539270378396402,0.0010053023910570474,0.003274244638980131,0.004279547030037178,0.36151658861989816
30.57260910151692,0.0010031804376376598,0.0032706774979279147,0.0042738579355655745,0.36147335727472696
30.605947824637443,0.001001065195540506,0.0032671180790036637,0.0042681832745441696,0.36143020710323737
30.639286547757962,0.0009989566364932687,0.0032635663577221205,0.004262522994215389,0.3613871378953221
30.67262527087848,0.0009968547323723495,0.003260022309693873,0.004256877042066223,0.36134414944136406
30.705963993999003,0.0009947594552019315,0.0032564859106249933,0.004251245365826925,0.36130124153223814
30.73930271711952,0.000992670777153049,0.003252957136316677,0.004245627913469726,0.36125841395931313
30.772641440240044,0.0009905886705426626,0.003249435962664875,0.004240024633207538,0.36121566651445347
30.805980163360562,0.0009885131078327426,0.003245922365659928,0.00423443547349267,0.3611729989900207
30.83931888648108,0.0009864440616293583,0.0032424163213862073,0.0042288603830155655,0.3611304111788753
30.872657609601603,0.0009843815046817726,0.0032389178060217433,0.004223299310703516,0.3610879028743778
30.905996332722122,0.0009823254098815484,0.0032354267958378696,0.004217752205719418,0.36104547387039065
30.939335055842644,0.0009802757502616537,0.003231943267198856,0.00421221901746051,0.36100312396127965
30.972673778963163,0.0009782324989955798,0.003228467196561546,0.004206699695557126,0.36096085294191466
31.00601250208368,0.0009761956293964631,0.0032249985604749917,0.004201194189871455,0.3609186606076716
31.039351225204204,0.0009741651149162131,0.0032215373355800937,0.004195702450496307,0.3608765467544335
31.072689948324722,0.0009721409291446483,0.003218083498609243,0.0041902244277538915,0.36083451117859144
31.106028671445245,0.0009701230458086364,0.003214637026385948,0.0041847600721945846,0.3607925536770459
31.139367394565763,0.0009681114387712428,0.0032111978958244865,0.00417930933459573,0.36075067404720756
31.172706117686282,0.0009661060820308838,0.0032077660839295364,0.00417387216596042,0.3607088720869988
31.206044840806804,0.0009641069497204851,0.0032043415677958176,0.004168448517516302,0.36066714759485424
31.239383563927323,0.0009621140161066505,0.0032009243246077356,0.004163038340714386,0.3606255003697219
31.272722287047845,0.00096012725558883,0.0031975143316390156,0.0041576415872278455,0.3605839302110636
31.306061010168364,0.0009581466426985021,0.00319411156625235,0.004152258208950852,0.36054243691885673
31.339399733288882,0.0009561721520983536,0.0031907160058990366,0.00414688815799739,0.36050102029359393
31.372738456409405,0.0009542037585814714,0.003187327628118624,0.004141531386700096,0.3604596801362847
31.406077179529923,0.0009522414370705382,0.0031839464105385537,0.004136187847609092,0.36041841624845544
31.439415902650445,0.0009502851626170314,0.003180572330873801,0.004130857493490832,0.3603772284321506
31.472754625770964,0.0009483349104004339,0.0031772053669265237,0.004125540277326958,0.3603361164899328
31.506093348891483,0.0009463906557274427,0.0031738454965857046,0.0041202361523131475,0.3602950802248839
31.539432072012005,0.0009444523740311904,0.0031704926978267985,0.004114945071857989,0.3602541194406049
31.572770795132524,0.0009425200408704681,0.003167146948711379,0.004109666989581847,0.360213233941217
31.606109518253046,0.0009405936319289546,0.003163808227386783,0.004104401859315738,0.36017242353136175
31.639448241373564,0.0009386731230144519,0.0031604765120857624,0.0040991496351002145,0.3601316880162013
31.672786964494083,0.0009367584900581247,0.0031571517811261303,0.004093910271184255,0.360091027201419
31.706125687614605,0.0009348497091137474,0.0031538340129104105,0.0040886837220241576,0.3600504408932196
31.739464410735124,0.0009329467563569552,0.0031505231859254913,0.004083469942282447,0.3600099288983296
