galaxy,delta_external,in_twompp_grid,ra_deg,dec_deg,l_deg,b_deg,distance_input,distance_units,distance_mpch,x_mpch,y_mpch,z_mpch,vx_kms,vy_kms,vz_kms,in_twompp_velocity_grid
UGC02259,-0.6188138349252332,True,41.98082,37.53844,8.718757426176415,-19.796177331130764,10.5,mpc,7.35,6.835724786499684,1.0483032683737963,-2.489262320598345,-46.778402073673035,-627.7698018947349,277.7234067489502,True
UGC02455,-0.3190870540115064,True,44.928490000000004,25.24119,359.5570818063648,-29.191499830345027,6.92,mpc,4.843999999999999,4.228658736472023,-0.032689793458987496,-2.362564849451214,-33.67159971819818,-603.4542238797821,316.89090580699906,True
UGC02487,0.10081716060768028,True,45.42649,35.20565,4.928798838843796,-20.485797750695742,69.1,mpc,48.36999999999999,45.14348184293261,3.893020043171388,-16.928300033975006,285.7725276166695,-617.1959865725755,-165.47286147909736,True
UGC02885,1.4682057123358976,True,58.26017,35.58947,356.28417459217064,-14.052047080301486,80.6,mpc,56.419999999999995,54.61660411512409,-3.547046115339939,-13.698956850339439,-60.17051001847994,-469.697235499157,-43.42968003186873,True
UGC02916,-0.8185986202035137,True,60.64098,71.70592,19.057924668696668,14.194671477395667,65.4,mpc,45.78,41.94961451931327,14.491865443409866,11.226044612913503,188.75822892605495,-403.8908027479125,128.83739898027028,True
UGC02953,-0.7774401241650912,True,61.94545,69.81243,17.40062278525674,13.110177161579067,16.5,mpc,11.549999999999999,10.734172100426854,3.364013766197674,2.6198207379991216,-87.14399865137959,-703.0265425011576,293.4510658939541,True
UGC03205,-0.39015421039280834,True,74.06173,30.052190000000003,342.90305603321707,-8.206389720836825,50.0,mpc,35.0,33.11075321114871,-10.184264567131397,-4.995876000970884,147.06490688986895,-911.771345585999,59.4407309407361,True
UGC03546,-0.39874843338705085,True,102.5361,60.84569,0.8948250023976959,23.31391207925677,28.7,mpc,20.09,18.447407763491373,0.28812844614626054,7.9509891715433385,-142.35770254082266,-785.4836295603509,262.6489208466274,True
UGC03580,-0.49077429247163046,True,103.87864,69.563,10.146916099759613,25.646030569594934,20.7,mpc,14.489999999999998,12.858211596942446,2.3012608131961945,6.271418754787655,-127.89844409342938,-767.1629194683596,319.8795596808667,True
UGC04278,0.5999961597077212,True,123.49545,45.74215,341.73982019896175,33.057244437010695,9.51,mpc,6.656999999999999,5.298445313992525,-1.7482090441513007,3.631238272625226,-105.7209141110175,-695.7381877821616,527.6744550189353,True
UGC04305,0.2915989862783213,True,124.77074,70.72003,11.587089665182658,32.68843349530243,3.45,mpc,2.415,1.9910903691420225,0.408244625286946,1.3042700900634827,-11.182967361813684,-644.002847460147,451.4669630404365,True
UGC04325,0.5476000409013365,True,124.83554,50.00961,346.7667452078471,34.29063325379966,9.6,mpc,6.72,5.404572878311587,-1.2709409861076166,3.7859874554534123,-117.632981472741,-712.8733426820736,518.5122152087594,True
UGC04483,0.315354867060011,True,129.26371,69.77478,10.895735176630017,34.381007148577005,3.34,mpc,2.3379999999999996,1.8947686446598608,0.3647286641524447,1.3202533032563888,-7.49753526910271,-642.1215888749664,453.7601627283544,True
UGC04499,0.6541736946839634,True,129.42287,51.65238,348.7727832628705,37.19551021944431,12.5,mpc,8.75,6.83666390109611,-1.357071111152054,5.289696087936041,-173.01825639299875,-756.0419531969642,502.1603203045854,True
UGC05005,0.9818425515343884,True,141.12245,22.27482,308.9067030438407,43.06726397758658,53.7,mpc,37.589999999999996,17.2472889778123,-21.369683441872915,25.668575194388502,191.69858779365688,-525.9458180680654,-245.4833981359805,True
UGC05253,0.1491321391568137,True,147.59264,72.27865,16.8503944738175,38.68282859141468,22.9,mpc,16.029999999999998,11.976042848183958,3.6272772686752814,10.01889002408018,-151.73160537754688,-839.8140935609329,270.58225861340674,True
UGC05414,2.1050329633928366,True,150.98827,40.76151,335.57880203063996,53.10042250274343,9.4,mpc,6.58,3.5972578046952153,-1.6333935325224627,5.261954185896448,-89.3337820135088,-702.7296609409902,588.4532982338294,True
UGC05716,4.89153469473568,True,157.93028,25.30761,307.6243476198475,58.7111258839619,21.3,mpc,14.91,4.727299873226263,-6.133130864517794,12.741485066792418,-53.337548986062004,-458.4660469316261,83.93323804209598,True
UGC05721,1.6894434173423407,True,158.072,27.66877,312.10663337269597,59.213540213299645,6.18,mpc,4.326,1.4846617102232509,-1.6427253041814271,3.7163838850687916,42.19310431353351,-624.3991369173009,587.4286802993331,True
UGC05750,1.594956255745529,True,158.93796,20.99019,299.1471612873807,58.522481887425286,58.7,mpc,41.089999999999996,10.450102233147526,-18.738814413985608,35.04340590860098,490.1401492154428,-548.8341900464063,-171.7936345723602,True
UGC05764,2.127059128885705,True,159.17976,31.54726,319.686466806551,60.426209784610656,7.47,mpc,5.228999999999999,1.9678558171693985,-1.669662353362245,4.547770014919114,11.13628610784178,-649.3475886736207,607.3487700208955,True
UGC05829,2.6285342901596866,True,160.67828,34.44928,325.79576617136996,61.53349311587601,8.64,mpc,6.048,2.384145689058658,-1.6205212919226175,5.316771960105912,-23.06750497547064,-676.6210351742734,606.9486446662556,True
UGC05918,0.6777123341922611,True,162.40172,65.53363,14.96204650178415,47.119112898996484,7.66,mpc,5.362,3.5250126561962194,0.9420220756982812,3.929112391183736,-98.47583404318524,-747.8260885220459,500.50507911712737,True
UGC05986,2.6009480535269454,True,163.12972,36.61878,331.0912749218765,63.16234281700904,8.63,mpc,6.041,2.387448895501647,-1.3184169918828443,5.390319601552635,-31.11489236115589,-692.8838374089464,600.0977874177476,True
