galaxy,q_est_kms2,huber_scale_kms2,outer_rule,n_total,n_outer,rmax_kpc,rmin_outer_kpc
NGC2366,1809.5041902171959,219.84326385000097,rfrac,26,11,6.06,3.69
NGC2403,14758.252647058822,854.7401753099991,rfrac,73,17,20.87,12.92
NGC2683,17892.270535196807,1040.4349357500028,lastfrac,11,5,34.62,20.2
NGC2841,65847.14310766662,6127.472262491988,rfrac,50,13,63.64,38.9
NGC2903,23396.266977272728,1111.124414190004,rfrac,34,11,24.96,15.36
NGC2915,6226.889989064411,432.04016646000184,rfrac,30,13,10.04,6.03
NGC2955,29824.401953798104,1715.0450673300077,rfrac,24,5,35.43,22.19
NGC2976,2802.0580953300155,732.8683055399998,rfrac,27,8,2.27,1.42
NGC2998,28670.85162086496,1990.202580449998,lastfrac,13,6,42.28,17.48
NGC3109,3430.63994090909,619.6617138599992,rfrac,25,11,6.45,3.87
NGC3198,17435.80527222222,845.627819190003,rfrac,43,9,44.08,28.16
NGC3521,14920.530683660416,3949.4439509699955,lastfrac,41,17,17.74,4.64
NGC3726,19640.68161569816,1641.4497670200058,lastfrac,12,5,32.52,16.03
NGC3741,2207.8972744736066,220.5283733099999,rfrac,21,7,7.0,4.21
NGC3769,11187.696072069028,772.4638813499992,lastfrac,12,5,37.16,14.52
NGC3877,8511.870875011962,375.5976956550089,rfrac,13,6,11.35,6.98
NGC3893,20779.43722419302,1129.6930896299964,lastfrac,10,5,19.05,10.9
NGC3917,12839.298689427736,729.4236326999995,rfrac,17,7,14.86,9.6
NGC3949,8598.26501,4614.870784020006,lastfrac,7,5,7.07,3.5
NGC3953,20134.54998401351,920.1836960399941,lastfrac,8,5,15.68,8.72
NGC3972,10572.12107,2888.8856112899994,rfrac,10,5,8.72,5.24
NGC3992,42706.92574788313,569.4848959800117,lastfrac,9,5,46.02,27.52
NGC4010,10101.16929,553.4656994999957,rfrac,12,5,10.47,6.98
NGC4013,21938.851459561036,3331.0366353180007,rfrac,36,17,31.01,19.39
NGC4051,7300.648870000002,1859.119909919999,lastfrac,7,5,12.19,5.24
NGC4068,498.7843734903,413.03108469000006,lastfrac,6,5,2.33,0.64
NGC4085,4952.304729590413,1659.495158789992,lastfrac,7,5,6.2,2.71
NGC4088,10694.12258,4399.2055611,rfrac,12,5,21.48,13.94
NGC4100,19664.63963181818,2703.7185823200057,rfrac,24,11,22.76,13.94
NGC4138,15415.48332854512,1430.3516637480006,lastfrac,7,5,18.58,7.85
NGC4157,21713.590661260463,2155.1957229599984,rfrac,17,7,29.61,19.16
NGC4183,9123.968283333332,913.05261243,rfrac,23,9,21.02,13.12
NGC4214,5693.361574351553,157.31868599999817,rfrac,14,6,5.63,3.55
NGC4217,13419.512406494638,824.4068464799998,rfrac,19,8,16.72,10.47
NGC4389,-3351.160634140778,903.3796852499999,lastfrac,6,5,5.32,1.74
NGC4559,9865.799338746958,373.85693793000416,rfrac,32,13,20.97,13.08
NGC5005,22891.55036206125,4173.915254502001,rfrac,18,6,11.47,7.37
NGC5033,29281.974605916355,1991.3585636699995,rfrac,22,8,44.59,28.5
NGC5055,22339.777232601642,560.993119154999,rfrac,28,8,54.59,34.51
NGC5371,19553.257149187244,5317.51673334,rfrac,19,7,46.24,28.84
NGC5585,6420.6461642936765,157.00548675000312,rfrac,24,7,10.96,6.85
NGC5907,31668.703622222223,3348.2780427599955,rfrac,19,9,50.33,30.2
NGC5985,62496.63531232685,1492.309769789993,rfrac,33,10,34.72,20.98
NGC6015,19827.035520238784,1604.5978166399957,rfrac,44,15,29.23,17.73
NGC6195,25841.609599942487,4656.571903872003,rfrac,23,5,36.43,22.52
NGC6503,10996.095222307058,242.7566244600004,rfrac,31,13,23.5,14.44
NGC6674,47180.97593990751,2650.711681191011,rfrac,15,6,72.41,47.44
NGC6789,1459.9216660461168,1255.2542983050002,lastfrac,4,4,0.71,0.1
NGC6946,14923.558872410307,939.7999173359992,rfrac,58,24,20.4,12.26
NGC7331,32851.16533857143,4536.462445200002,rfrac,36,14,36.31,22.49
NGC7793,6731.484496849498,902.6735228699995,rfrac,46,7,7.87,4.73
NGC7814,31511.63945,2636.3157093209998,rfrac,18,8,19.53,11.74
PGC51017,25.631383647139696,4.200576450000452,lastfrac,6,5,3.63,0.99
UGC00128,14546.207100000001,1026.0365175899992,rfrac,22,9,53.75,33.74
UGC00191,4470.9706080368915,509.5797758099993,lastfrac,9,5,9.98,1.62
UGC00634,8261.038672587918,1656.1242453,lastfrac,4,4,18.01,4.51
UGC00731,4116.458860000001,58.50043080000012,rfrac,12,5,10.91,7.28
UGC00891,2083.720466954676,1277.10103941,lastfrac,5,5,7.39,1.48
