galaxy,n,sigma_kpc,ups_disk,ups_bul,a0_kms2_per_kpc,r_t_kpc,r_near_half_rt_kpc,frac_gas_half_rt,frac_disk_half_rt,frac_bul_half_rt,r_near_rt_kpc,frac_gas_rt,frac_disk_rt,frac_bul_rt,frac_bul_peak,r_bul_peak_kpc,q_best_kms2,v_extra_asym_kms,chi2,chi2_red,gbar_inner_kms2_per_kpc,gbar_rt_kms2_per_kpc,gbar_half_rt_kms2_per_kpc,gbar_1kpc_kms2_per_kpc,gbar_2kpc_kms2_per_kpc,s_in_dlng_dlnr,vobs_outer_kms,outer_resid_mean_z,outer_resid_rms_z,outer_chi2,sparc_T,sparc_D_mpc,sparc_e_D_mpc,sparc_Inc_deg,sparc_e_Inc_deg,sparc_L36_1e9solLum,sparc_e_L36_1e9solLum,sparc_Reff_kpc,sparc_SBeff_solLum_pc2,sparc_Rdisk_kpc,sparc_SBdisk_solLum_pc2,sparc_MHI_1e9solMass,sparc_RHI_kpc,sparc_Vflat_kms,sparc_e_Vflat_kms,sparc_Q_flag,env_twompp_delta_external,env_twompp_in_twompp_grid
IC4202,32,2.0,0.5,0.7,3702.813097789641,7.715583614943451,3.95,0.0,0.1656014167453495,0.8343985832546504,7.86,1.995243041303077e-06,0.5052648173302067,0.49473318742675204,0.9823511937853553,0.77,35412.494375989816,188.1820777225871,1507.0000481833301,48.61290478010742,16557.434961038958,3702.81309778964,6501.334292224184,15693.69790369256,11613.630983377927,-0.8552865400846851,243.0,0.4405816525148198,0.8457216818709915,8.582941958240381,4.0,100.4,10.0,90.0,1.0,179.749,3.311,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1.0,4.456666071189689,True
KK98-251,15,2.0,0.5,0.7,3702.813097789641,1.89,0.9,0.7002449411321373,0.29975505886786263,0.0,1.89,0.8089658008495237,0.19103419915047617,0.0,0.0,0.25,1147.7893386166124,33.87903981249487,17.959260510539153,1.282804322181368,30.5764,178.71201058201058,107.96831377316637,114.91552605436914,178.097919663688,1.0536981945303068,33.3,nan,nan,0.0,10.0,6.8,2.04,59.0,5.0,0.085,0.007,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2.0,-0.23126865288816034,True
NGC0024,29,2.0,0.5,0.7,3702.813097789641,1.7,0.85,0.03777667313008103,0.962223326869919,0.0,1.7,0.061962301030898864,0.938037698969101,0.0,0.0,0.21,11141.019401593476,105.55102747767772,356.00409494364067,12.714431962272881,830.1492857142858,1348.8884999999998,1136.138411764706,1200.5952766913592,1267.536127685885,0.0728722735670145,107.0,1.7824595598385622,2.1831627273227046,19.06479797588444,5.0,7.3,0.36,64.0,3.0,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1.0,0.04916094193973145,True
NGC0055,21,2.0,0.5,0.7,3702.813097789641,1.84,1.23,0.3300971303797076,0.6699028696202924,0.0,1.84,0.3951715837521818,0.6048284162478182,0.0,0.0,1.23,3844.268113054655,62.00216216435242,50.041856991916205,2.5020928495958104,458.900406504065,478.35921195652156,nan,nan,473.9209489511502,-0.13112287348154839,86.2,-0.6909539659765178,1.5862507234887318,42.77525308206492,9.0,2.11,0.11,77.0,3.0,4.628,0.013,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5.0,2.0,0.15559528121988112,True
NGC0100,21,2.0,0.5,0.7,3702.813097789641,1.59,0.69,0.013013598964613765,0.9869864010353863,0.0,1.59,0.020889096374334278,0.9791109036256658,0.0,0.0,0.23,5706.957369011756,75.54440660308184,5.437008378892638,0.2718504189446319,206.4958695652174,559.2909119496856,445.1288916138389,498.96869979255695,541.3197447084373,0.16323547518924933,89.0,-0.034394704470833606,0.5783424022333947,4.682719079095311,6.0,13.5,4.05,89.0,1.0,3.232,0.063,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1.0,-0.58734594016458,True
NGC0247,26,2.0,0.5,0.7,3702.813097789641,2.15,1.08,0.03240155601737283,0.9675984439826272,0.0,2.15,0.04876662190411629,0.9512333780958836,0.0,0.0,1.08,7020.2375698227515,83.78685797798335,1119.525998374126,44.78103993496504,235.3825,291.6682325581396,nan,nan,289.65824246163817,0.02517317539679398,106.0,0.8867106585449902,2.1480029710721986,92.27833527469986,7.0,3.7,0.19,74.0,3.0,7.332,0.027,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2.0,0.0655144984012473,True
NGC0289,28,2.0,0.5,0.7,3702.813097789641,6.169450980129951,3.46,0.002010171667846469,0.9979898283321536,0.0,6.38,0.001002865634227694,0.9989971343657723,0.0,0.0,1.5,20873.981352262872,144.4783075491365,61.96326741592877,2.294935830219584,10696.233900000001,3702.81309778964,7833.317444410825,nan,10412.908154297345,-1.0946707995697629,165.0,-0.07473156250583454,1.6898535320098294,57.1120991929219,4.0,20.8,5.2,46.0,5.0,72.065,0.465,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2.0,0.9191865966199932,True
NGC0300,25,2.0,0.5,0.7,3702.813097789641,0.91,0.91,0.0,1.0,0.0,0.91,0.0,1.0,0.0,0.0,0.91,7232.664468006304,85.04507315539392,53.448734252667045,2.227030593861127,545.8848351648352,545.8848351648354,nan,538.964085749615,480.1163730250743,-0.24358873471560322,93.5,0.2297649289423687,1.1337698013847417,29.564981138235925,7.0,2.08,0.1,42.0,10.0,2.922,0.008,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2.0,0.15952894705229134,True
NGC0801,13,2.0,0.5,0.7,3702.813097789641,9.970494809326915,3.52,0.0014590996556868875,0.9985409003443131,0.0,10.59,0.014640216177436428,0.9853597838225636,0.0,0.0,1.17,24665.133966609916,157.05137365400506,162.86241327164512,13.571867772637093,14420.644615384617,3702.81309778964,7771.231897469022,nan,13724.298406322296,-0.7675504748457812,216.0,0.013440145373079424,2.2127774530222046,29.37830433962061,5.0,80.7,8.07,80.0,1.0,312.57,3.455,7.76,818.14,8.72,1558.94,23.201,44.99,220.1,6.2,1.0,1.0872846534880758,True
NGC0891,18,2.0,0.5,0.7,3702.813097789641,9.672094555562797,5.1,0.0024430001636388692,0.792553908066655,0.205003091769706,9.73,0.018458237174266406,0.8171369169069624,0.16440484591877116,0.8601282479658282,0.92,22964.56119692136,151.54062556595628,240.7415412655759,14.16126713326917,57512.10128260868,3702.81309778964,11675.688652238396,53809.05250906447,30944.162713461657,-1.303730154185699,216.0,nan,nan,0.0,3.0,9.91,0.5,90.0,1.0,138.34,0.255,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1.0,-0.6343017395773687,True
